date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:13	0/0	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20Nov%202007%2002:54:27%20GMT	http://www.carolmeyerdesign.com/robots.txt		(from )
10:06:15	6217/6217	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:13%20GMT	http://www.carolmeyerdesign.com/	./carolmeyer/www.carolmeyerdesign.com/index.html	(from )
10:06:15	1695/1695	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Oct%202005%2006:46:22%20GMT	http://www.carolmeyerdesign.com/styles/global.css	./carolmeyer/www.carolmeyerdesign.com/styles/global.css	(from http://www.carolmeyerdesign.com/)
10:06:16	3210/3210	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Oct%202005%2006:46:22%20GMT	http://www.carolmeyerdesign.com/scripts/global.js	./carolmeyer/www.carolmeyerdesign.com/scripts/global.js	(from http://www.carolmeyerdesign.com/)
10:06:17	1961/1961	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:48%20GMT	http://www.carolmeyerdesign.com/images/nav/home_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/home_over.gif	(from http://www.carolmeyerdesign.com/)
10:06:18	2970/2970	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:51%20GMT	http://www.carolmeyerdesign.com/images/nav/whoweare_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/whoweare_over.gif	(from http://www.carolmeyerdesign.com/)
10:06:19	2185/2185	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:50%20GMT	http://www.carolmeyerdesign.com/images/nav/process_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/process_over.gif	(from http://www.carolmeyerdesign.com/)
10:06:20	2014/2014	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:49%20GMT	http://www.carolmeyerdesign.com/images/nav/pricing_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/pricing_over.gif	(from http://www.carolmeyerdesign.com/)
10:06:21	2128/2128	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:51%20GMT	http://www.carolmeyerdesign.com/images/nav/samples_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/samples_over.gif	(from http://www.carolmeyerdesign.com/)
10:06:22	2332/2332	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:47%20GMT	http://www.carolmeyerdesign.com/images/nav/contactus_over.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/contactus_over.gif	(from http://www.carolmeyerdesign.com/)
